utt_key,transcription,keywords
3221036999_3f7b152d8a_1,"a skateboarder becomes airborne at the top of a black and yellow ramp","top|skateboard|yellow|air|black|jumps"
3222041930_f642f49d28_1,"a man in a blue suit reads the paper while smoking next to a marble building","wearing|building|carrying"
3222055946_45f7293bb2_2,"basketball players in action","ball|jumps|running"
3223055565_68973f5d20_1,"a man stands in the snow and holds a toy up while a black dog jumps for it","stands|snowy|jumps|snow|toy|black|holding|dogs"
3223224391_be50bf4f43_0,"a furry dog running on an open field of grass","field|running|grass|dogs"
3224227640_31865b3651_2,"a white dog and brown dog fighting","brown|white|dogs"
3225310099_d8e419ba56_2,"a raft hanging from a rope over the ocean","water|ocean"
3227148358_f152303584_4,"a white bird with yellow feet is flying over water","yellow|water|white"
3228069008_edb2961fc4_4,"brown puppy biting pole","brown|dogs"
3232470286_903a61ea16_3,"a soccer team scores a goal","soccer|ball|field"
3234115903_f4dfc8fc75_2,"two women with blue and white uniforms playing floor hockey","wearing|ball|white|women"
3234401637_84e0d14414_1,"two children on bikes riding on a desolate street near water and a streetlamp","street|young|bike|water|riding|rides|children|road"
3238951136_2a99f1a1a8_2,"a man wearing red shorts is holding onto the rocks beside the water","wearing|ocean|water|holding|rock|climbing|red"
3239021459_a6b71bb400_1,"a boy riding a tobaggan down a snowy hill","little|boy|snow|snowy|young|jacket|riding|rides"
324208502_674488bcea_2,"a person sits on a red bench to eat while another watches","sitting|sits|red"
3243588540_b418ac7eda_4,"two girls at a table with papers between them","sitting|young|sits|children"
3244470342_c08f6bb17e_1,"a snowboarder is jumping off a high stone wall","snowy|snow|jumps|air"
3244747165_17028936e0_0,"a smiling group posing together","face|camera|smiling"
3245070961_8977fdd548_2,"a little boy in navy blue is running very fast","wearing|boy|little|young|running|children"
3245460937_2710a82709_2,"a child jumping on a tennis court","jumps|tennis|children"
3245912109_fdeef6b456_2,"many bundled up people are standing in a public square","building|stands|street"
3246991821_750a3097e2_0,"a girl in a pink dress blows bubbles on a wharf","wearing|pink|water|small|children"
3247052319_da8aba1983_2,"a man wearing a white hat is on a red atv driving on the dirt","wearing|dirt|field|riding|white|hat|red"
3250695024_93e8ab7305_4,"three people looking concerned facing us a girl in a backback facing away","three|face"
3251648670_9339943ba2_4,"two boys walking to make a cylinder roll at a small carnival","boy|walks|small|children"
3251976937_20625dc2b8_3,"brown dog runs through snow with a snow covered branch in its mouth","brown|snowy|snow|running|carrying|mouth|stick|holding|dogs"
3254817653_632e840423_0,"a family picture","smiling|children|women"
3255482333_5bcee79f7e_4,"a skier wearing white sunglasses is skiing down a snowy mountain very fast","wearing|mountain|snowy|snow|riding|white|rides"
3256043809_47258e0b3e_1,"a brown and white dog walking in the snow near a fence","brown|snowy|snow|walks|white|dogs"
3256275785_9c3af57576_4,"a man with a black shirt jumps from a wooden plank on a cloudy day","wearing|jumps|black|shirt"
3258874419_23fec1bdc1_1,"a greyhound dog wearing a yellow and black shirt runs along a dirt racetrack","wearing|shirt|dirt|yellow|race|black|dogs"
3259002340_707ce96858_4,"the black dog is wearing a purple collar with a black leash as he is running","wearing|running|black|dogs"
3259666643_ae49524c81_2,"a man in a white uniform jumps while holding a basketball as another in blue blocks him","ball|jumps|holding|white"
3259991972_fce3ab18b2_4,"young man break dancing in the street","boy|young|street"
3262075846_5695021d84_0,"a bunch of men play rugby on a muddy field","ball|dirt|field|running|grass"
3263395801_5e4cee2b9e_3,"a motorcyclist navigates a forest trail","dirt|riding|grass"
3263497678_8bb688ca01_0,"the 2 runners are ready for the track","running|race"
326456451_effadbbe49_2,"a rottweiler running","running|dogs"
3270691950_88583c3524_3,"a young man dives into water","young|water|ocean|pool|swimming"
327415627_6313d32a64_0,"two dogs run along the green grass near the water","park|water|running|grass|dogs"
3275704430_a75828048f_2,"a woman is covering her eyes with her hands","face|women"
3280052365_c4644bf0a5_2,"two woman and a child look at each other while a night party scene goes on behind them","children|women"
3281078518_630a7a7f4f_3,"puppies chickens and a turkey examining bucket contents on dirt","dirt"
3285993030_87b0f1d202_4,"fuzzy dark gray dog running along a dirt path with weeds on the sides","dirt|running|dogs"
3286822339_5535af6b93_1,"a couple walk to the side of a crowded walkway","walks"
3287549827_04dec6fb6e_0,"a guy on a snowboard grinding","snowy|snow"
3290105461_7590f23371_0,"a cricket batter dressed all in white makes a hit","shirt|field|white"
3294209955_a1f1e2cc19_4,"the dog is running full speed through the meadow","field|running|grass|dogs"
3295391572_cbfde03a10_3,"a small boy wearing a blue shirt stacks wooden blocks","wearing|boy|little|young|small|shirt"
3295680663_af21ea648b_1,"a man on a bmx bike jumps over a train","jumps|bike|riding|rides"
3299820401_c2589186c5_0,"a dirt biker rides through some trees","dirt|tree|bike|riding|rides"
3301811927_a2797339e5_2,"hockey players with one taking a shot",""
3301859683_2d5e4b40a3_2,"a person skis downhill","mountain|snowy|snow"
3310067561_b92017acab_4,"the dog is lying on the cobblestone street","street|dogs|road"
3315616181_15dd137e27_3,"a teenager climbs a rock wall","young|rock|climbing"
3316725440_9ccd9b5417_1,"a guy on a bmx bike","rides|bike|riding|road"
3317073508_7e13565c1b_3,"six soccer players on field with player in red uniform in the air and ball airborne","soccer|ball|football|air|field|red"
3320032226_63390d74a6_2,"a little girl in a red snowsuit sits on a snowball in a backyard","wearing|little|ball|snowy|young|snow|sitting|small|sits|children|red"
3320356356_1497e53f80_0,"a man climbs a rock","climbing|rock"
3323988406_e3c8fce690_4,"the skateboarder is jumping over a ramp","park|jumps|skateboard|riding"
3325497914_f9014d615b_2,"a woman holding a little girls hand is pointing to something trying to show her","little|young|holding|small|children|women"
3328646934_5cca4cebce_1,"a blond child runs down a sand dune while another looks on","sand|young|running|children"
3332467180_d72f9b067d_3,"a man lights a cigarette on a loading dock near a dumpster","building"
3333921867_6cc7d7c73d_4,"three dogs run through water and grass","three|water|running|grass|dogs"
3334537556_a2cf4e9b9a_4,"people some dressed in costumes and dogs on a snowy mountain","mountain|snowy|snow|dogs"
3339140382_2e49bc324a_0,"a three person sky dive team in the air performing a stunt","jumps|air|three"
3344233740_c010378da7_3,"people in the city","building|street|walks"
3347666612_659e6e2207_4,"two indian children are being squirted by a jet of water","young|water|children"
3347798761_5c5260b000_3,"a person on a dirt bike doing a trick over a hill","dirt|jumps|air|sand|bike|riding|rides"
3348385580_10b53391f9_1,"a snowboarder balancing on a wall","snowy|snow"
3349451628_4249a21c8f_1,"a boy swings a piece of wood","boy|carrying|children"
3350786891_6d39b234e9_0,"a group of dark skinned children are sitting beside a red metal container","sitting|young|red|children"
3353036763_4cbeba03b2_3,"two men riding three horses wave their arms in the air","three|air|riding|sits|rides"
3354330935_de75be9d2f_0,"a person is holding a camera while a skier does a trick","camera|snow|holding"
3354883962_170d19bfe4_3,"a white dog with a black collar runs in the snow","snowy|snow|running|black|white|dogs"
3358558292_6ab14193ed_0,"a group of 5 people making different expressions","face|mouth"
3358682439_be4b83544c_4,"two women pet a kangaroo in a park","park|women"
3359530430_249f51972c_3,"several people are watching a snowboarder with a blue jacket jump","wearing|snowy|snow|jumps|jacket"
3359551687_68f2f0212a_1,"a girl doing a cartwheel in front of a crowd","young"
3360930596_1e75164ce6_4,"the person in the red and black uniform has a ball above her head","wearing|ball|black|red"
3361990489_92244a58ef_4,"the young girl is standing in a tree","little|stands|tree|young|small"
3363750526_efcedc47a9_0,"a black and white dog is running on the beach","running|ocean|sand|black|white|beach|dogs"
3364026240_645d533fda_0,"a lone skier skiing down a snowy mountain on one ski","mountain|snowy|snow|riding"
3364151356_eecd07a23e_3,"orange dog runs on dirt beside green fence","dirt|running|orange|dogs"
3364861247_d590fa170d_2,"a woman in a pink sweater looks pensive next to a crowd of laughing women","wearing|pink|women"
3365783912_e12c3510d8_4,"two people walk down a city street that has writing on it","building|street|walks|road"
3375070563_3c290a7991_2,"a white birds lands swiftly in the water","water|white"
3375549004_beee810e60_3,"three buddhists walk on the street","three|street|walks|road"
3375991133_87d7c40925_4,"several people are playing outside in the water","water|pool|swimming"
3384314832_dffc944152_4,"the small yellow and white dog jumps over an obstacle with a tennis ball","ball|jumps|tennis|yellow|small|toy|white|dogs"
3385246141_a263d1053e_1,"a man on ski has jumped in a tree while another man is watching","snowy|tree|jumps|snow|mountain"
3385593926_d3e9c21170_2,"two brown dogs playfully fight in the snow","brown|dogs|snow|snowy"
3387542157_81bfd00072_1,"a girl is curling in a competition","young"
3388330419_85d72f7cda_1,"two children are playing or dancing inside","young|children"
3393343330_b13df4d8ec_3,"a man sits at a table crowded with military merchandise","sits|sitting"
339350939_6643bfb270_3,"black dog running behind three birds on shore with waves in the background","three|ocean|water|running|black|beach|dogs|swimming"
3393926562_66cc01b001_3,"a man with shaggy hair and a moustache pointing down a street","hair|street"
3396157719_6807d52a81_4,"the brown and white dog is standing on a trampoline with its tongue hanging out","brown|stands|white|dogs"
339658315_fbb178c252_1,"two woman stand near a stroller in a dark building","building|stands|women"
3397220683_4aca010f86_3,"person with skis and a dog are standing in the snow","stands|snowy|snow|white|dogs"
3398746625_5199beea71_0,"a man does a handstand in the sand","sand|beach"
3399284917_721aefe2a7_4,"woman standing with a child on a swing","stands|park|children|women"
3406930103_4db7b4dde0_1,"a dog walks through the snow","snowy|snow|walks|white|dogs"
3411393875_a9ff73c67a_4,"the man is wearing a red shirt while the woman standing with him has purple streaks in her hair","wearing|shirt|hair|red|women"
3413571342_b9855795e2_0,"a man in colorful shorts is surfing under a wave","rides|ocean|water|riding|beach|swimming"
3416091866_a96003d652_3,"a man is standing behind and desk and there is part of a red car hanging above his head","stands|car|red"
3421789737_f625dd17ed_2,"a young boy rides a blue and yellow merry-go-round with an adult male hand in the foreground","boy|young|yellow|smiling|sits|rides|children"
3422458549_f3f3878dbf_1,"a tennis player in an orange outfit hits a ball","orange|tennis|ball"
3424424006_98f9d1921c_1,"a groom leaps off of a stone wall and into his wife 's arms","jumps|air"
3425835357_204e620a66_0,"a boy doing a handstand in a yellow shirt","wearing|boy|little|shirt|young|yellow"
3425851292_de92a072ee_0,"a male athlete is wearing a teal sweatband and a shirt from nike and is holding a tennis racket","wearing|tennis|carrying|holding|shirt"
3427118504_93126c83e0_1,"a shirtless child dances with an adult man","shirt|young|children"
3427233064_6af01bfc5c_3,"a young girl clings to a fence ant watches the horse on the other side","little|young|small"
3429956016_3c7e3096c2_3,"a man in a red jacket mountain climbing an icy rock mountain","mountain|snow|jacket|rock|climbing|red"
3430607596_7e4f74e3ff_4,"the boy wearing red shorts is jumping into the river as other children swim","wearing|boy|jumps|young|water|children|red|swimming"
343218198_1ca90e0734_2,"a black dog running in a backyard","running|black|grass|dogs"
3432550415_e7b77232de_2,"an in-line skater is attempting a trick in a long metal rail behind a large structure","young|large|rides"
3433982387_3fa993cf5a_0,"a girl in a white dress is playing with bubbles while a mother and daughter stand to the side","wearing|young|children|white|women"
3435035138_af32890a4c_3,"a white and brown shaggy dog is running down a dirt path in a park","brown|dirt|park|field|running|white|dogs"
3436063693_15c8d377a2_4,"the gray dog sits quietly dressed in a blue track jacket","wearing|jacket|sits|dogs"
3437147889_4cf26dd525_3,"two motorcyclists are on a dirt track","dirt|bike|riding|rides"
3437654963_c4fdc17e8b_3,"two bears bare their teeth at one another",""
3439382048_d2e23b2b4c_0,"a bald man is attempting to slam dunk a basketball in a game while people in the stands watch","ball|stands|jumps|air|holding"
3442242092_e579538d82_1,"a couple walks down a city street holding hands","building|street|holding|walks|smiling|road"
3449114979_6cdc3e8da8_0,"children sit in a classroom holding slates","little|sitting|young|carrying|holding|sits|children"
3450874870_c4dcf58fb3_4,"two people wearing skis on chairlift","wearing|mountain|snowy|sitting|air|sits"
3452127051_fa54a902b3_1,"a dark brown dog wearing a yellow harness is jumping over a hurdle in an agility competition","wearing|brown|jumps|yellow|dogs"
3453259666_9ecaa8bb4b_4,"two small children wearing blue jeans enjoy swinging in a tire swing","wearing|little|tree|young|sitting|small|children"
3456362961_d8f7e347a8_1,"a little girl climbs up a rock climbing jungle gym at a park","little|park|young|rock|small|climbing|children"
3457045393_2bbbb4e941_4,"a woman with a pink sweater is smiling as she holds a child","pink|baby|carrying|holding|small|smiling|children|women"
3458211052_bb73084398_4,"people standing at fence watching motor vehicles in field","stands|car|field|race"
3458559770_12cf9f134e_0,"a biker with a blue jacket black pants and white helmet driving on dirt while people watch","bike|dirt|jacket|black|riding|white|rides"
3459156091_c1879ebe28_0,"a boy is kneeling under a statue of bear that has a painting of a man on its back","boy|young"
3461041826_0e24cdf597_4,"a white dog is splashing in an outdoor stream next to a grassy bank","dogs|water|white|grass|swimming"
3462454965_a481809cea_1,"several multicolored dogs running through the grass","park|running|grass|dogs"
3467219837_7d62213dec_1,"a greyhound leaps in a race","running|race|dogs"
3468694409_a51571d621_0,"a group of people sing and dance at a concert",""
3470951932_27ed74eb0b_3,"a child in a baseball uniform runs on a baseball field","boy|ball|dirt|young|field|running|children"
3471841031_a949645ba8_1,"a woman ties her little girls shoes in front of a bench with a man sleeping on it","little|young|children|women"
3472364264_dbde5a8d0a_3,"the dog ran across the beach","running|ocean|sand|beach|dogs"
3473264983_67917a931f_4,"speed ball paintball team starting the first round","ball"
3474406285_01f3d24b71_0,"a brown dog jumping over a blue and yellow stick","brown|jumps|yellow|stick|dogs"
3477715432_79d82487bb_4,"two teenage girls dance in pajama bottoms one holding a paper","wearing|carrying|children|holding"
3480051754_18e5802558_2,"a group of refugees and sitting next to their tents","sits|sitting"
3482062809_3b694322c4_3,"a woman with a backpack leans again a statue while a group of boys sit on a bench talking","boy|sitting|sits|children|women"
3482974845_db4f16befa_0,"a black dog with his pink tongue sticking out running on the beach with a white dog wearing a red collar","pink|wearing|sand|water|running|black|stick|mouth|white|beach|dogs|red"
348380010_33bb0599ef_3,"a dog lays on his back with a favorite tennis ball in his mouth","ball|tennis|mouth|holding|dogs"
3484649669_7bfe62080b_0,"a girl with a black swimsuit plays in the sprinkler","young|water|black|children"
3484832904_08619300d9_3,"a girl playing softball taking a swing","ball|young|children"
3485425825_c2f3446e73_2,"a young girl is standing on the back of a man 's bicycle while the man peddles forward","bike|little|stands|young|riding|sits|rides"
3490736665_38710f4b91_0,"a big dog stands on his hand leg as tennis balls are thrown his direction","ball|stands|tennis|dogs"
3494394662_3edfd4a34c_2,"a man with a red collar and gray beard looks at the camera","wearing|camera|red"
3497224764_6e17544e0d_2,"a woman writing while standing by men","stands|women"
3498327617_d2e3db3ee3_3,"dog carries stick in mouth while in water","toy|water|mouth|stick|holding|beach|dogs|swimming"
3498997518_c2b16f0a0e_0,"a football player in blue grabs a football player in white for a tackle","wearing|ball|football|field|white|grass"
3499720588_c32590108e_0,"a dark skinned man plays a blue guitar on the street","street|black|red|road"
3500136982_bf7a85531e_3,"many people are rollerblading down the street","street"
3502343542_f9b46688e5_1,"a woman is climbing up a steep mountain over water","mountain|ocean|water|climbing|women"
3502993968_4ee36afb0e_1,"a biker looks back at the camera for a photo","bike|street|camera|rides|road"
3503623999_bbd5dcfb18_4,"the lady is wearing a bandanna around her face to protect her from dust","wearing|dirt|face|women"
3503689049_63212220be_0,"an african american in sunglasses and a white tee-shirt smiles","wearing|shirt|face|black|smiling|white"
350443876_c9769f5734_0,"a little baby climbing up the ladder after someone","little|baby|climbing|children"
3504881781_6a842e043b_2,"several men loading a metal cannon",""
3506468593_7e41a6d9f1_0,"a girl swings on a vine over water","water|pool"
3506560025_8d0f4f9ac4_0,"a lady looks to her right and holds a mini camera","camera|carrying|holding|women"
3507076266_8b17993fbb_4,"the man is walking with a draft horse","walks"
3514019869_7de4ece2a5_4,"dog performing during an outdoor dog show","dogs"
3514179514_cbc3371b92_1,"a baseball player catches the ball while the batter reaches the base","ball|field|running|grass"
3516825206_5750824874_1,"a woman and a barefoot man lay down on rocky terrain","mountain|rock"
3518126579_e70e0cbb2b_1,"a man skates down a long outdoor stairway","skateboard|riding"
3521374954_37371b49a4_0,"a baby girl and little boy are standing next to a guitar and a drum","boy|little|baby|small|children"
3523471597_87e0bf3b21_0,"a couple are looking at an area map",""
3523474077_16e14bc54c_2,"a man in a blue t-shirt holds a camera","shirt|camera|holding"
3523559027_a65619a34b_4,"the group of people make single file lines on the field","field"
352382023_7605223d1c_1,"a dog with a stick in his mouth walking through water","water|carrying|mouth|stick|walks|dogs"
3523874798_9ba2fa46e3_0,"a boy in a white shirt and green helmet is riding a skateboard down some steps","wearing|boy|shirt|skateboard|young|riding|white"
352981175_16ff5c07e4_4,"two people are hiking in the snow","snowy|snow|walks"
3530843182_35af2c821c_4,"a woman in a crochet hat and sunglasses smiles while the man beside her in a plaid short and sunglasses looks behind her","wearing|smiling|hat"
353180303_6a24179c50_3,"a woman in a fancy costume is fixer her makeup in front of a mirror","wearing|stands|face|women"
3532205154_5674b628ea_0,"a man checks out the beautiful necklace a woman is wearing","wearing|women"
3537400880_8f410d747d_0,"a girl doing the splits in the air while jumping on a trampoline","jumps|air"
3538213870_9856a76b2a_0,"a girl twirls in a pink dress","pink|young|children"
3539767254_c598b8e6c7_0,"a gondola is steered through the canals with other boats around","water|riding"
3540416981_4e74f08cbb_3,"the white dog is chasing a toy that is attached to a string across the grass","toy|running|white|grass|dogs"
3541474181_489f19fae7_3,"a snowboarder is in the air","snowy|jumps|snow|air"
3542484764_77d8920ec9_1,"man dressed in white playing sports","white"
3544793763_b38546a5e8_3,"two boxers fight in a well-lit ring surrounded by poorly-lit seating",""
3545586120_283d728a97_1,"two boxers fiercely attacking each other",""
3545652636_0746537307_4,"little boy in red getting ready to kick soccer ball while other boy watches","boy|little|ball|young|soccer|field|children|red"
354642192_3b7666a2dd_2,"a person swimming in water nearby rocks and a small waterfall","water|rock|small|swimming|beach"
3549583146_3e8bb2f7e9_1,"a young boy has his mouth open as he rides his bike outdoors past a stone wall","boy|young|bike|face|mouth|riding|rides"
3554634863_5f6f616639_3,"man in yellow-gold suit and hat leaning forward with musical instruments to his right","wearing|yellow|jacket|hat"
3556598205_86c180769d_2,"a person drives an atv through mud","brown|dirt|riding|rides"
3558370311_5734a15890_4,"the biker does a trick in the air","bike|air"
3562050678_4196a7fff3_1,"a group of people on a zig zagging path through the mountains","mountain|walks"
3564312955_716e86c48b_1,"a little girl smiles as she lays on her side in the water","little|young|face|water|ocean|children|swimming"
3564543247_05cdbc31cf_2,"two guys jumping into a pool","water|pool|swimming"
3565598162_56044bc2f7_2,"two women are dancing while men play music behind them","women"
3567061016_62768dcce1_0,"a bird flying in the air","air"
3568197730_a071d7595b_2,"an actor dressed as a pirate performs in an outdoor park","wearing|park|grass"
3569406219_f37ebf7b92_3,"two women dressed in traditional japanese clothing","wearing|women"
3569979711_6507841268_3,"a person in midair doing a flip along the beach","jumps|air|water|sand|ocean|beach"
3571147934_d1c8af1d6e_2,"kids are waiting at the bottom of a staircase attached to a brick building","building|young|children"
3572267708_9d8a81d4a4_2,"three girls in colorful outfits are dancing under a stage light","three|children"
3576259024_9c05b163aa_0,"a man in blue jumping a dirt bike","bike|dirt|jumps|air|riding|rides"
3578841731_f775cab089_2,"a red and white race car racing on a dirt racetrack","dirt|car|race|riding|white|red"
3578914491_36019ba703_0,"two dogs are fighting over something","dogs"
3582742297_1daa29968e_4,"three dogs chase and wrestle together on a dirt field","dirt|park|three|field|running|race|dogs"
3584534971_b44f82c4b9_0,"a man leads the way on his bike while two others follow in the distance","bike|race|rides|road"
3584561689_b6eb24dd70_2,"some teenagers are scrambling for a basketball underneath the net","ball|children"
3584930205_a3f58a4b7c_0,"a boy skateboarding","boy|skateboard|face|riding|rides|children"
3585487286_ef9a8d4c56_3,"two white and brown dogs barking on the shoreline while waves roll in behind them","brown|ocean|water|sand|white|beach|dogs"
3585598356_8ce815bbb9_2,"two woman are showing different facial expressions and wearing gold and purple costumes","wearing|ball|women"
3589367895_5d3729e3ea_3,"indian wearing headgear speaks","wearing|hat"
3589895574_ee08207d26_3,"a little girl in a sweatshirt jacket holding on to a bar","little|young|jacket|holding|children"
3591458156_f1a9a33918_1,"a cowboy is thrown from the horse he was riding while the judge stands by with his hand on a yellow flag","stands|yellow|riding"
3591462960_86045906bd_2,"a rodeo rider gets tossed up into the air by a black bull as fellow cowboys look on","air|black|riding|rides"
3592968286_b63c81bcd2_3,"man playing guitar in a dark room",""
3592992234_6d3fe58a70_2,"a man is walking in a field carrying a stick","field|carrying|stick|holding|walks|grass"
3593392955_a4125087f6_2,"two dogs run down a dirt path in the forest","dirt|running|dogs|road"
3595643050_d312e4b652_1,"a dog jumping up in the air next to a white house","jumps|air|white|dogs"
3596131692_91b8a05606_1,"children dressed in green and yellow soccer uniforms run after a soccer ball","boy|ball|football|young|yellow|soccer|field|running|grass|children"
3597326009_3678a98a43_3,"three people are sitting on a picnic table along with two cameras and a drum","sitting|three|camera|sits"
359837950_9e22ffe6c2_1,"a black dog is running gover rocky ground under a cloudy blue sky","running|black|rock|dogs"
3601843201_4809e66909_1,"a motorcycle rider drives fast around a curve on a track","riding|race|rides|road"
3602838407_bf13e49243_4,"a small black dog plays in the water","ocean|water|black|small|dogs|pool"
3605061440_1d08c80a57_3,"a group of children playing with a dog","children|dogs"
3605676864_0fb491267e_4,"two children are in a pool with a beach ball floating nearby","boy|little|ball|young|water|beach|children|pool|swimming"
3609032038_005c789f64_2,"a motocross bike is being ridden over rocks","dirt|bike|rock|riding|rides"
3609645320_815c294b65_0,"a family poses seated on concrete steps","sitting|sits"
3610683688_bbe6d725ed_3,"a dog walking through the pound","walks|dogs"
3613424631_3ae537624f_2,"a man sits on the stairs next to his bike","sitting|bike|sits"
3613800013_5a54968ab0_1,"a brown and white dog running in a field covered in yellow flowers","brown|yellow|field|running|white|dogs"
3613955682_3860e116cf_1,"a soccer team poses for a picture","face|smiling|soccer"
3619416477_9d18580a14_0,"a white dog catches a green ball while standing in shallow water","ball|stands|water|white|dogs"
3624327440_bef4f33f32_4,"a surfer rides the waves","rides|water|riding|beach"
3627011534_485f667b10_1,"a girl in a purple shirt and pink headband posing","pink|wearing|shirt|young|camera|smiling|children"
3630332976_fdba22c50b_2,"one child lifts another on his back inside a room","young|carrying|holding|children"
3630641436_8f9ac5b9b2_1,"three dogs entering the ocean","three|ocean|water|sand|dogs"
3631986552_944ea208fc_0,"a surfer catching a big wave in the ocean","rides|water|ocean|beach"
3635577874_48ebaac734_3,"the boy is doing a stunt through the air on his bicycle","boy|jumps|young|air|bike|small|riding|rides|children"
363617160_6cb0c723be_4,"a little girl paints the ground white outside","little|young|white|children"
3639967449_137f48b43d_3,"two little boys are sitting on a step eating ice lollipops","boy|little|sitting|young|mouth|holding|small|sits|children"
3640422448_a0f42e4559_4,"a mountain biker is jumping his bike over a tree stump in the woods","mountain|jumps|dirt|tree|bike|air|riding|rides"
3641022607_e7a5455d6c_3,"a man windsurfs in a wetsuit","rides|water|ocean"
3642220260_3aa8a52670_0,"a black dog on a rocky beach","ocean|sand|black|rock|beach|dogs"
3647750811_395fbd397e_1,"a dog is running awkwardly","running|dogs"
3651971126_309e6a5e22_2,"a blurry photo of two dogs","dogs"
3655074079_7df3812bc5_3,"a painted woman rides a bike in public","bike|rides|women"
3655155990_b0e201dd3c_3,"two white dogs are splashing around in white waves","ocean|water|white|beach|dogs|swimming"
3655964639_21e76383d0_0,"a man chains his bike to a rack while a woman in black and red walks","bike|black|walks|red|women"
3657016761_d553e514d9_4,"the little girl in her bathing suit stands near the sprinkers and squeals","wearing|little|stands|young|water|small|children"
3658427967_6e2e57458d_1,"a boy in blue camo pants jumping into water","wearing|boy|jumps|young|water|ocean|children|pool|swimming"
3670907052_c827593564_1,"a dirt biker flies through the air","dirt|jumps|air|bike|riding|rides"
3673165148_67f217064f_0,"a brown and white dog is standing in shallow water on a beach near a large rock outcrop","brown|sand|water|rock|white|beach|dogs|swimming|large"
3677318686_b018862bb7_1,"a boy in a purple shirt tosses orange balls on a lawn","boy|little|ball|shirt|young|holding|orange|grass"
3685328542_ab999b83bb_3,"a man is wearing a mask green beads and green pants","wearing"
3686924335_3c51e8834a_1,"a dog is being sprayed with water","water|dogs"
3688858505_e8afd1475d_1,"a few people with a girl standing up in the center wearing a green dress","wearing|stands|young"
3692593096_fbaea67476_0,"airplane emitting heavy red colored smoke","red|air"
3692892751_f6574e2700_3,"man with no shirt and tatoos on back airborne with skateboard in hand","shirt|skateboard|air|rides"
3694064560_467683205b_1,"an older man is speaking to a boy while both are sitting","boy|sitting|young|sits|children"
3694093650_547259731e_1,"a group of people dressed as pirates","wearing"
3694991841_141804da1f_4,"the drummer beats the drums at an outdoor concert",""
3696698390_989f1488e7_3,"a man wearing a green shirt is jumping his bicycle off a ramp","shirt|jumps|air|rides|wearing"
3697359692_8a5cdbe4fe_0,"a boy is sitting in a car seat in the backseat of a car","boy|sitting|car|young|street|riding|sits|rides|children"
3701291852_373ea46bb6_3,"two people are silhouetted against a lake reflecting a painted sky",""
3702436188_2c26192fd0_4,"a teenage boy jumps off a rail","boy|jumps"
370614351_98b8a166b9_0,"a man with a mohawk with his arms in the air","hair|air"
370713359_7560808550_4,"people are sitting in a cheery mexican restaurant","sitting|sits"
3708177171_529bb4ff1d_0,"a boy is outside jumping over a flower bush on a skateboard","boy|jumps|skateboard|young|riding|grass|rides"
3715469645_6d1dc019b3_3,"two young women are leaning up against a wooden wall","stands|young|women"
3716244806_97d5a1fb61_3,"two adults and two children pose on a pile of rocks","little|stands|young|rock|children"
3718964174_cb2dc1615e_4,"there is a woman with a green scarf around her head","wearing|women"
3720366614_dfa8fe1088_4,"the small dog wearing a tutu stands on its hind legs","wearing|little|stands|small|dogs"
3725202807_12fbfdd207_2,"a man and a woman are walking past a car with a fancy symbol on the front","car|walks"
3727752439_907795603b_0,"a large woman puts her sunglasses on","wearing|face|large|women"
3729525173_7f984ed776_3,"a woman sits and reads in the stoop of a wooden door","building|sitting|sits|women"
373394550_1b2296b8c4_1,"a small boy in a hat asleep on a padded bench","boy|young|small|hat|children"
3737539561_d1dc161040_0,"there are two kids in swimmies playing outside next to some trees","little|tree|young|children"
3741462565_cc35966b7a_1,"a small young girl in a pink shirt drinking a large chocolate milkshake","wearing|pink|shirt|young|face|large|holding|small|children"
3741827382_71e93298d0_0,"a boy in a green shirt above something blue","boy|children|shirt"
3745451546_fc8ec70cbd_2,"a person is hiking to the top of a hill","top|climbing"
375392855_54d46ed5c8_0,"a woman in a yellow and black outfit is skiing","wearing|mountain|snowy|snow|yellow|black"
3767841911_6678052eb6_3,"a little girl in an orange dress is running through the sprinkler in the yard","little|young|water|small|running|orange|children"
384577800_fc325af410_0,"a brown dog carries an object in its mouth on a snowy hillside","brown|snowy|snow|carrying|mouth|dogs"
387830531_e89c192b92_0,"a brown dog about to jump on a smaller black and tan dog","brown|jumps|black|small|dogs"
391579205_c8373b5411_4,"the woman in the blue sweater encourages the dog to jump in the air","air|dogs|women"
396360611_941e5849a3_3,"a person with a backpack stands on a rocky bank beside a body of water","mountain|stands|ocean|water|rock|beach"
398662202_97e5819b79_0,"one child reaches up for something while another stands beside him","stands|young|children"
400851260_5911898657_3,"a person stands in a snowy area looking down","stands|snowy|snow"
401079494_562454c4d6_1,"two black dogs fight","black|dogs"
405615014_03be7ef618_3,"a police officer in a yellow vest directs traffic","stands|yellow|street|road"
410453140_5401bf659a_4,"person standing at glass doors with big blue circle and big pink circle","pink|stands"
415793623_6c1225ae27_2,"a middle aged woman climbs a mountain","mountain|climbing|women"
416106657_cab2a107a5_4,"the little white dog wearing the red collar is running in the grass","wearing|little|park|field|running|grass|dogs|red|white"
416788726_5b4eb1466e_4,"a mostly nude man standing on a stool while a family of 5 look at him questioningly",""
416960865_048fd3f294_0,"a hiker in a red on a snowy peak","mountain|snowy|snow|climbing|red"
421322723_3470543368_3,"a teenager standing in a crowd of people texting on his phone","boy|stands|young"
